Splicing Factor	Gene	Aliases	GeneID	HomoloGene	Uniprot	Binding Domain(s)	MIM	Protein Interactors	Chemical Interactors	Expression	CLIP	
SLM-2	KHDRBS3	KH domain containing RNA binding signal transduction associated 3, Etle, SALP, SLM2, TSTAR, T-STAR, etoile.	10656	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10656	O75525	1 KH domain		BAHD1, CCDC33, COBRA1, FUS, HNRNPC, HNRNPK, KHDRBS2, LNX1, NUDT18, PSMF1, RBBP6, RBM7, RBMX, SGSM2, SIAH1, ZNF408 (IntAct Database); CCDC33, PSMF1, RBM7, SIAH1 (STRING Database); BAHD1, CCDC33, HNRNPK, HNRNPK, KHDRBS1, KHDRBS2, LNX1, NUDT18, PSMF1, PTBP2, RBM7, RBMX, SGSM2, SIAH1, SNRPC, U2AF2, ZNF408 (MINT Database); BAHD1, CCDC33, HNRNPK, KHDRBS1, KHDRBS2, LNX1, NUDT18, PRMT1, PSMF1, RBM7, RBMX, RBMY1A1, SFRS9, SGSM2, SIAH1, YTHDC1, ZNF408 (HPRD Database, Direct); SFRS9, YTHDC1 (HPRD Database, Complex); BAHD1, CACNA1A, CCDC33, HNRNPK, KHDRBS2, KIAA0101, LNX1, NUDT18, PRMT1, PSMF1, RBBP6, RBM7, RBMX, RPAP2, SGSM2, SIAH1, UBC, ZNF408 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=444558&LLNO=10656,http://www.proteinatlas.org/ENSG00000131773,http://www.hprd.org/summary?hprd_id=10007&isoform_id=10007_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=36133,36134,36135,36136,36137,36138,36139,36140,36141,36142,36143,36144,36145,36146,36147,36148,36149,36150,36151,36152,36153,36154,36155,36156,36157,36158,36159,36160,36161,36162,36163,36164,36165,36166,36167,36168,36169,36170,361,		
SRp20	SFRS3	splicing factor arginine/serine-rich 3.	6428	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6428	P84103	1 RRM (RNA recognition motif) domain		ESR1, GABARAP, GABARAPL1, GABARAPL2, HDGF, IFIT3, MAP1LC3A, MED19, MED29, PCBP1, YWHAB, YWHAG, YWHAQ (IntAct Database); SF3A2, SREK1 (STRING Database); NXF1, PCBP1, PCBP2, PRPF38A, RBMY2FP, SF3A2, SFRS2, SNW1, TRA2B (MINT Database); CHD1, EXOSC6, HNRNPK, NXF1, PCBP1, PCBP2, RBM7, RBMY1A1, SFRS2IP, SFRS12, SIP1, SRPK1, YWHAB, YWHAG, YWHAQ (HPRD Database, Direct); AIRE, CHD1, CLK1, EXOSC6, KIAA0101, MEPCE, POU5F1, RBM7, SCAF11, SMN1, SREK1, SRPK2, SRRM1, TADA2A, UBC, YWHAB, YWHAG, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=405144&LLNO=6428,http://www.proteinatlas.org/ENSG00000112081,http://www.hprd.org/summary?hprd_id=04530&isoform_id=04530_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=54925,55350,56429,56779,61946,66638,67063,68142,68492,73659,78689,101111,103798,121328,122541,125758&ptm_id=9965,9966,9967,9968,9969,9970,9971&loc_id=,		
SRp30c	SFRS9	splicing factor arginine/serine-rich 9.	8683	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=8683	Q13242	2 RRM (RNA recognition motif) domains		FUS, ITGB5, MAP1LC3A (IntAct Database); SF3A2 (STRING Database); TRA2B (DIP Database); HABP4, HNRNPUL1, SF3A2 (MINT Database); C1QBP, DUSP11, KHDRBS3, NOL3, RBMY1A1, SAFB, TRA2B, YBX1 (HPRD Database, Direct); KHDRBS3, YTHDC1 (HPRD Database, Complex); C1QBP, DUSP11, HNRNPR, KIAA0101, NCBP1, NOL3, SREK1, TRA2B, UBC, YBX1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=706889&LLNO=8683,http://www.proteinatlas.org/ENSG00000111786,http://www.hprd.org/summary?hprd_id=09053&isoform_id=09053_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=100512&ptm_id=9990,9991,9992,9993,9994,9995,9996,9997,11228,14628,14629,21248,21249,21250,21251,21252,21253,21254,21255,21256,21257&loc_id=,		
SRp38	SFRS13A	splicing factor, arginine/serine-rich 13A, RP11-4M23.6, DKFZp686H0644, FLJ30749, FLJ43846, FUSIP1, FUSIP2, NSSR, SFRS13, SRp38, SRrp40, TASR, TASR1, TASR2	10772	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10772	O75494	1 RRM (RNA recognition motif) domain		GABARAP, GABARAPL2, GRB2, MAP1LC3A, YWHAG, YWHAQ (IntAct Database); FUS, SFRS1, SFRS4, TRA2B, SFN, YWHAB, YWHAG (MINT Database); FUS, SFRS12, SNRNP70, TRA2A, YWHAB, YWHAG (HPRD Database, Direct); FUS, KIAA0101, SFN, SREK1, UBC, YWHAB, YWHAG, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=3530&LLNO=10772,http://www.proteinatlas.org/ENSG00000188529,http://www.hprd.org/summary?hprd_id=05562&isoform_id=05562_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1069,102628,123351&ptm_id=7196,7197,7198,7199,7200,7201,7202,7203,7204,8844,8845,8846,8847,8848,8849,8850,8851,11247,11248,14519,14520,14521,14531,14532,14533,20783,20784,20785,20786,20787,20788,20789,20790,20791,20792,20793,20794&,		
SRp40	SFRS5	splicing factor arginine/serine-rich 5, HRS	6430	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6430	Q13243	2 RRM (RNA recognition motif) domains		CD101, ESR1, ESR2, GABARAP, GABARAPL1, GABARAPL2, HDGF, MAPK14, NR3C1, OLFM2, SMAD2, TNK2 (IntAct Database); SF3A2 (STRING Database); CD101, MAPK6, OLFM2, RPS6KA1, SF3A2, SNRPF, SNW1, TNK2 (MINT Database); OLFM2, PPARGC1A, SFRS12, SMURF1, SRPK1, TNK2 (HPRD Database, Direct); PPARGC1A, SFRS4, SFRS6, SRRM1 (HPRD Database, Complex); CALM1, CD101, DYRK1A, KIAA0101, MAPK6, MAPK14, OLFM2, PPARGC1A, RPS6KA1, SREK1, SRPK2, SRRM1, SRSF1, TADA2A, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=632326&LLNO=6430,http://www.proteinatlas.org/ENSG00000100650,http://www.hprd.org/summary?hprd_id=02948&isoform_id=02948_3&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=103037,104164&ptm_id=9608,9609,14885,15521,26101,26102,26103,26104,26105,26106,26107,26108&loc_id=,		
SRp54	SFRS11	splicing factor, arginine/serine-rich 11, p54.	9295	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=9295	Q05519	1 RRM (RNA recognition motif) domain		CDK6, CSNK2A1, DDOST, ETS1, GABARAPL2, MME, PUF60, RNPS1, SMAD2, THAP11, YWHAG (IntAct Database); PUF60 (STRING Database); SNW1 (MINT Database); PUF60, RNPS1, SFRS1, SFRS2, TOP1, U2AF2 (HPRD Database, Direct); KIAA0101, MME, PIN1, PUF60, SRSF1, SRSF2, TERF2, TOP1, U2AF2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=479693&LLNO=9295,http://www.proteinatlas.org/ENSG00000100883,http://www.hprd.org/summary?hprd_id=03599&isoform_id=03599_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=102421&ptm_id=9936,9937,9938,9939,9940,9941,9942,9943,9944,9945,9946,9947,9948,9949,9950&loc_id=,		
SRp55	SFRS6	splicing factor arginine/serine-rich 6, B52, MGC5045.	6431	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6431	Q13247	2 RRM (RNA recognition motif) domains		CNBP, ESR1, RNPS1, SRSF4, YWHAG, YWHAQ (IntAct Database); SF3A2 (STRING Database); RBM10, RNPS1, SF3A2, SF3B4, SFRS4, SNW1, TOE1, TRA2B (MINT Database); CLK1, PPARGC1A, RNPS1, SFRS4, SFRS12, SRPK1 (HPRD Database, Direct); PPARGC1A, SFRS4, SFRS5 (HPRD Database, Complex); KIAA0101, PPARGC1A, RNPS1, RRP1B, SREK1, SRPK2, SRRM1, SRSF4, UBC, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=6891&LLNO=6431,http://www.proteinatlas.org/ENSG00000124193,http://www.hprd.org/summary?hprd_id=09054&isoform_id=09054_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=55134,55478,61114,66847,67191,72827,104165&ptm_id=9610,9611,9612,9613,9614,9615,9616,9617,9618,9619,9620,9621,9622,14587,14588,14887,15523,15542,20941,20942,20943,20944,23445,23446,23447,23448,23449,23450,23451,23452,23453&loc_id=,		
SRp75	SFRS4	splicing factor arginine/serine-rich 4.	6429	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6429	Q08170	2 RRM (RNA recognition motif) domains		GABARAPL2, HAP1, MAP1LC3A, RNPS1, SRSF6, TICAM1, YWHAG (IntAct Database); SF3A2, SRRM1 (STRING Database); CDC5L, HAP1, HTATSF1, PRPF38A, RNPS1, SART1, SF3A2, SFRS1, SFRS13A, SFRS2, SFRS6, SRRM2, TRA2B (MINT Database); FUS, HAP1, PNN, PPARGC1A, SFRS2IP, SFRS6, SFRS12, SIP1, SMURF1, SMURF2, SRPK1 (HPRD Database, Direct); PPARGC1A, SFRS5, SFRS6, SRRM1 (HPRD Database, Complex); DYRK1A, HAP1, KIAA0101, PNN, PPARGC1A, SREK1, SRRM1, SRSF6, TADA2A, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=469970&LLNO=6429,http://www.proteinatlas.org/ENSG00000116350,http://www.hprd.org/summary?hprd_id=09052&isoform_id=09052_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=89033,104163,123654&ptm_id=9972,9973,9974,9975,9976,9977,9978,9979,9980,9981,9982,9983,13455,13456,13457,13611,13612,13717,13718,13907,14114,14218,14281,14886,15522,20977,20978,20979,23601,23602,23603,23604,23605,23606,23607,23608,,		
TDP43	TARDBP	TAR DNA binding protein, ALS10.	23435	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=23435	Q13148	2 RRM (RNA recognition motif) domains	Amyotrophic lateral sclerosis type 10 (ALS10) [MIM:612069].	ARF6, EXOSC10, GABARAPL2, HLA-B, MAP1LC3A, MED10, MED19, MED29, NSFL1C, SETDB1, TNFRSF14, TOB1, XRN2, ZHX1 (IntAct Database); EXOSC10, XRN2 (STRING Database); ATXN2 (DIP Database); CDC5L, SNW1 (MINT Database); EXOSC10, NSFL1C, SETDB1, XRN2, ZHX1 (HPRD Database, Direct); EXOSC10, FUS, HDAC6, HNRNPA1, IRAK1, IRAK2, KHDRBS2, KIAA0101, NSFL1C, PABPN1, SETDB1, UBC, VCP, XRN2, ZHX1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=300624&LLNO=23435,http://www.proteinatlas.org/ENSG00000120948,http://www.hprd.org/summary?hprd_id=05466&isoform_id=05466_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=49190,49191,49192,49193,49194,49195,49196,49197,49198,49199,49200,49201,49202,49203,49204,49205,49206,49207,49208,49209,49210,49211,49212,49213,49214,49215,49216,49217,49218,49219,49220,49221,49222,49223,49224,49225,49226,49227,492,	http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-527[PMID:21421050],	
TIA-1	TIA1	cytotoxic granule-associated RNA binding protein.	7072	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=7072	P31483	3 RRM (RNA recognition motif) domains	Welander Distal Myopathy(WDM) [MIM:604454].	GABARAP, GABARAPL1, GABARAPL2, MAP1LC3A, MAP1LC3B, RICTOR, TOB1 (IntAct Database); DCP1A, HABP4, RC3H2, SND1 (MINT Database); FASTK (HPRD Database, Direct); ELAVL1, HNRNPU, TIAL1 (HPRD Database, Complex); FASTK, RICTOR, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=723169&LLNO=7072,http://www.proteinatlas.org/ENSG00000116001,http://www.hprd.org/summary?hprd_id=04626&isoform_id=04626_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=101396&ptm_id=&loc_id=,	http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-526[PMID:21048981],	
TIAL1	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1, TCBP, TIAR, MGC33401.	7073	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=7073	Q01085	3 RRM (RNA recognition motif) domains		GABARAP, GABARAPL1, GABARAPL2, MAP1LC3A, MAP1LC3B (IntAct Database); CDC5L, SMN1, SNW1 (MINT Database); SMN1, SMN2 (HPRD Database, Direct); ELAVL1, HNRNPU, TIA1 (HPRD Database, Complex); KIAA0101, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=501203&LLNO=7073,http://www.proteinatlas.org/ENSG00000151923,http://www.hprd.org/summary?hprd_id=04563&isoform_id=04563_2&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=121061&ptm_id=&loc_id=,		
YB-1	YBX1	Y box binding protein 1, YB1, BP-8, CSDB, DBPB, CSDA2, NSEP1, NSEP-1, MDR-NF1, MGC104858, MGC110976, MGC117250.	4904	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=4904	P67809	1 CSD (cold-shock) domain		ACTB, APEX1, ARRB1, ARRB2, CBX6, CBX8, CSNK2A1, EIF2C4, EP300, ESR1, GABARAP, GABARAPL2, HLA-C, HNRNPD, IFIT1, IFIT2, IFIT3, IQCB1, JAM2, LCP2, MAP3K14, MAPK13, MYC, PCNT, PPP2R2B, SIRT1, TRAF6, UBE2O, WWTR1 (IntAct Database); CTCF, HABP4, TFAP2A, TP53 (STRING Database); PPM1G (DIP Database); CUL1, EIF2C1, EIF2C2, FBXO33, GSK3B, HABP4, LSM3, MAP3K14, MAPK1, PITX2, RPS27A, SKP1, SMU1, YWHAZ (MINT Database); AKT1, ANKRD2, CTCF, FBXO33, FMR1, FUS, GSK3B, HABP4, HNRNPD, HNRNPK, IREB2, MAPK1, NFYB, PCBP2, PCNA, PURA, RBBP6, SFRS9, SFRS12, SLC6A4, SMAD3, TFAP2A, TP53, VEGFA, YBX1 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, CUL1, DDX3X, DHX30, DIAPH1, EPRS, FBXO33, GRINL1A, HNRNPK, HNRNPL, HNRNPU, HNRNPUL1, NEDD4, NUDT21, PDCD7, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRPF8, RAPGEF2, RPAP2, RPAP3, RPS3A, SFRS7, SKP1, SMARCC1, SNRNP25, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, THRAP3, WBP2 (HPRD Database, Complex); ANKRD2, APBB1, CALM1, CDK9, CTCF, EIF2C4, FUS, GIGYF2, GSK3B, HABP4, HIST1H1C, IREB2, KHDRBS2, KIAA0101, MAPK1, MECP2, MEPCE, NOP56, NPM1, PCNA, POU5F1, PRPF40A, RBBP6, RNU11, RNU12-2P, RPAP2, SIRT1, SREK1, SRRM2, SRSF9, TFAP2A, TP53, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=473583&LLNO=4904,http://www.proteinatlas.org/ENSG00000065978,http://www.hprd.org/summary?hprd_id=01095&isoform_id=01095_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1017,75240,76671,85380,87719,101786,104790,123175,125536&ptm_id=4735,4736,4737,4738,4739,4740,4741,4742,4743,14063,24149,24150,24151,24152&loc_id=,		
ZRANB2	ZRANB2	zinc finger, RAN-binding domain containing 2, ZIS, ZIS1, ZIS2, ZNF265, FLJ41119, DKFZp686J183, DKFZp686N09117.	9406	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=9406	O95218	2 RanBP2-type zinc fingers		AKAP17A, ARRB1, ARRB2, KIF20A (IntAct Database); EP300, SFRS2, SFRS12, SFRS17A, SMN1, SNRNP70, U2AF1, YY1 (HPRD Database, Direct); DDB1, HADHA, HSPA1L, HSPA5, HSPA8, NF2, VPRBP (HPRD Database, Complex); ARRB1, EMD, SNRNP70, SREK1, TRA2B, U2AF1, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=194718&LLNO=9406,http://www.proteinatlas.org/ENSG00000132485,http://www.hprd.org/summary?hprd_id=09185&isoform_id=09185_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=92262,105205&ptm_id=11011,11012,11013,11014,11015,11016,11017,11018,11019,11020,13434,13435,13436,14072,14073,14230,14231,24577,24578,24579,24580,24581,24582,24583,24584,24585,24586,24587,24588,24589,24590&loc_id=,		
HuC	ELAVL3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C), HUC, HUCL, PLE21, MGC20653, DKFZp547J036	1995	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=1995	Q14576	3 RRM (RNA recognition motif) domains		A2M, CDC37, ECSIT, EWSR1, MAST1, NOS3, RNF32 (IntAct Database); EWSR1 (MINT Database); ELAVL2, EWSR1 (HPRD Database, Direct); EWSR1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=1701&LLNO=1995,http://www.proteinatlas.org/ENSG00000196361,http://www.hprd.org/summary?hprd_id=16024&isoform_id=16024_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=104682&ptm_id=&loc_id=,		
RBM5	RBM5	RNA binding motif protein 5, G15, H37, RMB5, LUCA15, FLJ39876	10181	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10181	P52756	1 C2H2-type zinc finger; 1 G-patch domain; 1 RanBP2-type zinc finger; 2 RRM (RNA recognition motif) domains		RIF1 (IntAct Database); SF3A2 (STRING Database); BCL2L1, C1orf103, DHX15, GAPDH, ILF3, NAA38, PRPF8, PRPF19, SF3A2, SNRNP200, SR140, U2AF2, WBP11, WDR77 (MINT Database); C1orf103 (HPRD Database, Direct); BCL2L1, GAPDH, LRIF1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=439480&LLNO=10181,http://www.proteinatlas.org/ENSG00000003756,http://www.hprd.org/summary?hprd_id=06052&isoform_id=06052_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=&ptm_id=6195,6196,6197,6198,6199,6200,6201,6202&loc_id=,		
hnRNP Q	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein, PP68, NSAP1, GRYRBP, HNRPQ1, GRY-RBP, hnRNP-Q, FLJ31626, dJ3J17.2	10492	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10492	O60506	3 RRM (RNA recognition motif) domains		CNBP, ESR1, GABARAP, GABARAPL1, GABARAPL2, H2AFX, HLA-B, HMGA1, HNRNPD, IKBKE, MAP1LC3A, MAP1LC3B, PRKAB1, PRKRA, PRMT8, PUF60, SIRT1, SMG1, STK24, TP63 (IntAct Database); A1CF, HNRNPD, SF3A2 (STRING Database); APEX1, EEF1A1, EEF2, EIF2C1, EP300, HABP4, HNRNPK, HNRNPR, HNRNPU, HSPA1B, ILF2, ILF3, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MORF4L1, MORF4L2, MRE11A, ORC2L, PRKDC, RAD50, RUVBL1, RUVBL2, SF3A2, SNW1 (MINT Database); A1CF, CSDE1, EPRS, HNRNPD, INSR, IVNS1ABP, KLHL3, PABPC1, PCSK7, SMN1, SYT1, SYT2, SYT3, SYT4, SYT7, SYT8, SYT9, SYT11 (HPRD Database, Direct); ELAVL1, ELAVL2, ELAVL3, FMR1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, NCL, PABPC1, PAIP1, PTBP1, RBMX, SF3B2, STAU1, UPF1 (HPRD Database, Complex); A1CF, APOBEC1, CDK9, CNBP, DOT1L, GRB2, H2AFX, HNRNPA1, HNRNPH1, INSR, KHDRBS2, KIAA0101, MEPCE, PLCG1, PRKRA, PRMT1, PTPN11, PUF60, STK24, SYT1, SYT2, SYT3, SYT4, SYT7, SYT8, SYT9, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=571177&LLNO=10492,http://www.proteinatlas.org/ENSG00000135316,http://www.hprd.org/summary?hprd_id=06734&isoform_id=06734_1&isoform_name=,		
hnRNP A3	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3, FBRNP, HNRPA3, D10S102, MGC138232, MGC142030, 2610510D13Rik.	220988	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=220988	P51991	2 RRM (RNA recognition motif) domains		ARHGDIA, ARRB1, ATG12, CNBP, ESR1, GABARAP, GABARAPL1, GABARAPL2, HDGF, IFIT3, MAP1LC3A, MAP1LC3B, POLR1E, PUF60, RIPK2, SMAD2, STK24, TNIK, TOP1, TP63 (IntAct Database); SF3A2 (STRING Database); SF3A2, SNW1 (MINT Database); SFRS12 (HPRD Database, Direct); DDX17, DDX23, DDX5, DHX9, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); ARHGDIA, CNBP, HDAC5, KIAA0101, PUF60, SREK1, STK24, TOP1, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=516539&LLNO=220988,http://www.proteinatlas.org/ENSG00000170144,http://www.hprd.org/summary?hprd_id=05644&isoform_id=05644_2&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=606,995,78559,81015,83154,84882,86874,101414,104132,122411,125177,126650,133612,140952&ptm_id=14720,14721,15171,21079,21080,21081,24158,24159&loc_id=,		
QKI	QKI	QKI KH domain containing RNA binding, QK, Hqk, QK1, QK3, hqkI, DKFZp586I0923.	9444	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=9444	Q96PU8	1 KH domain		DEPP, FUBP3, HCLS1, HNRNPK, PCBP1, PCBP2, PCBP4, PSMF1, PTBP1, PTBP2, RBFOX1, RBFOX2, RBM14, RBPMS, RNF138, SERF2, THAP1, USH1C, USP30 (IntAct Database); DEPP, FOX1, FUBP3, HCLS1, HNRNPH2, HNRNPK, HYPK, PCBP1, PCBP2, PCBP4, PSMF1, PTBP1, PTBP2, RALY, RBM14, RBM23, RBM9, RBPMS, RNF138, THAP1, U2AF2, USH1C, WDR77 (MINT Database); C10orf10, DAZ4, FOX1, FUBP3, HCLS1, HNRNPK, PCBP1, PCBP2, PCBP4, PRMT1, PSMF1, PTBP1, PTBP2, RBM9, RBM14, RBPMS, RNF138, SERF2, THAP1, USH1C (HPRD Database, Direct); HNRNPK, MED1, MED4, MED10, MED12, MED13, MED14, MED15, MED16, MED17, MED23, MED24, MED25, MED26, MED27, MED29, MED31, POLR2A, UBC, USP30 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=510324&LLNO=9444,http://www.proteinatlas.org/ENSG00000112531,http://www.hprd.org/summary?hprd_id=06691&isoform_id=06691_1&isoform_name=Isoform_1,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21918[PMID:20371350],	
