#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
BROX	ENSG00000162819.12	ENSG00000162819.12:t:222713588-222713985	0.36716530967158506;-0.3671653211339836	0.8697967329145267;0.8697966844295051	9.286351175675969e-05;9.286797402219271e-05	0.493;0.507	0.893;0.107	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr1	+	222712942-222713588;222713416-222713588	222712553-222712942;222713321-222713416;222713588-222713985		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A222713985-222712553
ALG13	ENSG00000101901.12	ENSG00000101901.12:t:111717846-111717927	0.2783576516380385;-0.27835768084487034	0.7092371750893439;0.7092371438392645	0.0001160658833980208;0.00011607175260797131	0.459;0.541	0.795;0.205	t|1e1.2o2|1e2.1o1	False	False	True	2	3	1;1	chrX	+	111713297-111717846;111717004-111717846	111713225-111713297;111716953-111717004;111717846-111717927		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A111717927-111713225
NBPF9	ENSG00000269713.7	ENSG00000269713.7:t:149090753-149090894	-0.1942733372657201;0.21243690510451294;-0.0012199809676040182	0.4780253304272032;0.567625356949275;0.0015036134273767958	1.645942800221345e-05;5.418519055207552e-06;0.0007717340229104197	0.584;0.137;0.277	0.346;0.373;0.270	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr1	-	149090894-149098438;149090894-149092755;149090895-149092754	149090753-149090894;149092755-149092785;149098438-149098706	149090895-149092754	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A149098706-149090753
ZSCAN12	ENSG00000158691.14	ENSG00000158691.14:t:28382191-28382609	0.27735750905090134;-0.01627657813929808;-0.21440746269100736	0.8102425596520632;0.02655420115681979;0.5500461645106449	1.0074564769934668e-05;0.0007426383310558116;9.821755637462459e-05	0.011;0.653;0.336	0.332;0.604;0.063	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0;1;0	chr6	-	28382609-28392902;28382609-28390596;28382609-28390418	28382191-28382609;28390418-28391742;28392902-28393046		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A28393046-28382191
TTC8	ENSG00000165533.19	ENSG00000165533.19:s:88841037-88841196	0.20225955017363131;-0.20225957544843187	0.5019761397469161;0.5019761037403155	0.00016231746000205678;0.00016232572676400103	0.573;0.427	0.851;0.149	s|1e1.1o2|1e2.1o1	False	False	True	2	3	1;1	chr14	+	88841196-88841425;88841196-88843806	88841037-88841196;88841425-88841557;88843806-88843850		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A88843850-88841037
TTC8	ENSG00000165533.19	ENSG00000165533.19:t:88843806-88843850	-0.21857073688909373;0.21857068980864955	0.5010890575716939;0.5010889719295005	0.00027549855200670326;0.0002754875530416312	0.641;0.359	0.293;0.707	t|1e1.1o1|1e2.1o2	False	False	True	2	3	1;1	chr14	+	88841196-88843806;88841514-88843806	88841037-88841196;88841425-88841557;88843806-88843850		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A88843850-88841037
FAM135A	ENSG00000082269.17	ENSG00000082269.17:s:70415291-70415376	-6.954232488407063e-05;0.35699863894568545;-0.3572495354873638;-0.00041320962308305693	5.0379530606884185e-09;0.9460992052240517;0.9500547225023264;3.0251920360907085e-07	0.027178609642616203;1.0192769116238565e-05;8.042562379961815e-06;0.019617032836103943	0.004;0.458;0.517;0.021	0.003;0.822;0.153;0.023	s|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o2	False	False	True	4	5	1;1;1;1	chr6	+	70415376-70418375;70415376-70426439;70415376-70426570;70415376-70428304	70415291-70415376;70418375-70418492;70426439-70426532;70426570-70426771;70428304-70428344		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A70428344-70415291
CLPTM1L	ENSG00000049656.14	ENSG00000049656.14:s:1333440-1333508	-0.06528308274625498;-0.28150891196089445;0.3826494909956776	0.0013723450714190903;0.8722974156529895;0.9915994999761973	0.0004775266777277132;1.263877791313206e-08;8.251349584513395e-11	0.101;0.365;0.538	0.016;0.069;0.914	s|1e1.1o1|2e2.3o5|i	True	False	True	3	3	0;0;0	chr5	-	1333420-1333491;1333206-1333440;1333439-1333440	1333124-1333215;1333410-1333420;1333420-1333438;1333440-1333508	1333439-1333440	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A1333508-1333124
AC024475.3	ENSG00000255314.4	ENSG00000255314.4:t:46176349-46177106	-0.40959624586897375;0.40959585913430985	0.8418381778941053;0.8418380849877449	0.00016078002833908034;0.00016077271063290495	0.653;0.347	0.190;0.810	t|1e1.2o2|1e2.1o1	False	False	True	2	3	0;1	chr11	+	46172024-46176349;46174690-46176349	46171917-46172024;46174585-46174690;46176349-46177106		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A46177106-46171917
LRRC42	ENSG00000116212.15	ENSG00000116212.15:t:53951986-53952472	0.11287185899271018;0.08899076470673027;-0.2275214803756757	0.10523847618473091;0.00845337180707597;0.6572824887638337	0.00018017901795122241;0.0002437939177863949;1.908236119141371e-05	0.221;0.042;0.738	0.360;0.148;0.493	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr1	+	53946549-53951986;53947821-53951986;53947981-53951986	53946350-53946549;53947788-53947821;53947862-53947981;53951986-53952472		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A53952472-53946350
CIT	ENSG00000122966.17	ENSG00000122966.17:s:119697659-119697838	-0.00010084315269721182;0.20325467113221451;-0.19023646659110194	4.962637326090826e-21;0.5104995404133692;0.4477689371456902	0.35711708303854317;5.3931775355678346e-05;6.828064373021192e-05	0.017;0.449;0.535	0.006;0.681;0.313	s|1e1.2o4|1e1.3o4|1e1.4o4	False	True	False	3	2	1;1;1	chr12	-	119690481-119697659;119690454-119697659;119690451-119697659	119690151-119691065;119697659-119697838		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A119697838-119690151
SLC16A1-AS1	ENSG00000226419.8	ENSG00000226419.8:s:112960477-112961159	0.0589289122940757;-0.21411358063636898;0.00019635504118149276;0.004261297685709106;0.06632570188830401	0.02747012009535869;0.5346170454069689;8.655547827599061e-07;4.815344733575963e-05;0.09848575161679622	0.0002185580078974559;2.9444748889217998e-05;0.005383551853708868;0.0023869681459265614;0.00014193776647469097	0.041;0.619;0.004;0.004;0.334	0.149;0.321;0.006;0.034;0.489	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i	False	False	True	5	5	1;1;1;1;0	chr1	+	112960575-112963972;112960575-112968035;112960575-112996348;112960575-112998930;112961160-112963971	112960477-112961159;112963972-112964072;112968035-112975430;112996348-112996603;112998930-112999496	112961160-112963971	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A112999496-112960477
INO80B-WBP1	ENSG00000274049.4	ENSG00000274049.4:t:74459643-74459745	0.2558531446750289;0.0070240743223899844;0.0070240743223899844;-0.3695150017805146	0.6515569126920062;0.0003220927044298877;0.0003220927044298877;0.9482613701394907	2.1422760296474757e-05;0.0014262210628738295;0.0014262210628738295;6.79701012362699e-07	0.581;0.008;0.008;0.405	0.898;0.046;0.046;0.009	t|1e1.1o1|1e2.1o2|1e2.2o2|i	True	False	True	4	3	0;1;1;0	chr2	+	74456272-74459643;74457538-74459643;74457860-74459643;74457861-74459642	74456103-74456272;74457334-74457860;74459643-74459745	74457861-74459642	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A74459745-74456103
CISH	ENSG00000114737.16	ENSG00000114737.16:t:50608373-50608593	0.2099495158595774;-2.9521870555997272e-05;-0.207378012585744	0.549746168913531;4.718063299791406e-21;0.5377188330982735	8.360052911691606e-06;0.05198172608225493;8.847955878077407e-06	0.436;0.004;0.560	0.665;0.002;0.333	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;1	chr3	-	50608593-50611631;50608593-50610373;50608594-50610372	50608373-50608593;50610373-50610529;50611631-50611774	50608594-50610372	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A50611774-50608373
AC092745.1	ENSG00000256101.5	ENSG00000256101.5:t:8329397-8329614	-0.000287068484814757;-0.211465621948154;0.2115029906578423	3.866315425264644e-06;0.5404543837330674;0.5400657998694719	0.006908275318711632;8.536985354412607e-05;9.187571874625386e-05	0.010;0.320;0.670	0.008;0.056;0.936	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;0	chr12	+	8323108-8329397;8323724-8329397;8325551-8329397	nan-8325551;8322861-8323108;8323553-8323724;8329397-8329614		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A8329614-8322861
MAP3K10	ENSG00000130758.8	ENSG00000130758.8:t:40205911-40206402	0.32873603369646126;-0.3287360040754542	0.8461469839232325;0.846147060505587	6.391962141211616e-05;6.392279502198672e-05	0.315;0.685	0.685;0.315	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr19	+	40205296-40205911;40205599-40205911	40205121-40205296;40205405-40205599;40205911-40206402		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40206402-40205121
MAP3K10	ENSG00000130758.8	ENSG00000130758.8:s:40205121-40205296	-0.12442564341490163;-0.017435405413037793;-0.08056885042483586;0.3390898902401566;-5.86362049624638e-05	0.2290635541844526;0.0017146290590909236;0.056139666404335084;0.9167438657301104;8.05714058283613e-09	0.00022160833731277307;0.0014032174471589887;0.0003287224943525624;2.1470675852400025e-05;0.024035312708686307	0.452;0.130;0.202;0.207;0.004	0.268;0.089;0.077;0.565;0.002	s|1e1.1o4|1e1.2o4|1e1.4o4|1e2.1o1|1e3.1o2	False	True	True	5	4	0;0;0;1;1	chr19	+	40205296-40205405;40205296-40205488;40205296-40205540;40205296-40205911;40205296-40209103	40205121-40205296;40205405-40205599;40205911-40206402;40209103-40209219		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40209219-40205121
OCRL	ENSG00000122126.17	ENSG00000122126.17:t:129557325-129557435	-0.23122800905573943;-0.0003346126718027802;0.23511328690784017	0.5962944802793684;1.6500485819726679e-06;0.6077596887008623	0.0001293594084060823;0.008390191261926083;0.00012689309697456585	0.565;0.009;0.426	0.267;0.006;0.727	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chrX	+	129548601-129557325;129549917-129557325;129554446-129557325	129548563-129548601;129549648-129549917;129554394-129554446;129557325-129557435		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A129557435-129548563
KIAA1109	ENSG00000138688.15	ENSG00000138688.15:s:122220333-122220470	-0.3058455566855617;0.305845610701354	0.7820816285650437;0.7820816516404754	9.496571586098401e-05;9.496107155125685e-05	0.934;0.066	0.575;0.425	s|1e1.1o2|1e1.2o2	False	True	False	2	2	1;1	chr4	+	122220470-122224498;122220470-122224501	122220333-122220470;122224498-122224677		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A122224677-122220333
ZNF397	ENSG00000186812.13	ENSG00000186812.13:s:35254197-35254402	-0.13444469159468297;-0.031009874957949386;0.21644003034121312	0.18042326530242453;0.01779021673094831;0.5955547288006297	3.91639523341647e-05;0.00030833041304922926;7.273487104593881e-07	0.209;0.783;0.008	0.032;0.709;0.259	s|1e1.1o1|2e2.1o1|i	True	False	True	3	3	0;1;0	chr18	+	35254381-35260236;35254402-35257928;35254403-35257927	35254197-35254402;35257928-35259227;35260236-nan	35254403-35257927	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A35260246-35254197
ZNF397	ENSG00000186812.13	ENSG00000186812.13:t:35257928-35259227	0.057436899288682744;-0.3026276096230235;0.1955273167206883	0.0017525539713663795;0.9251963133520603;0.4653986434934604	0.0004592633708164209;6.262506445642302e-07;2.1196592165772806e-06	0.010;0.979;0.010	0.104;0.656;0.241	t|1e1.3o6|1e2.2o2|i	False	False	True	3	3	1;1;0	chr18	+	35243293-35257928;35254402-35257928;35254403-35257927	35243152-35244100;35254197-35254402;35257928-35259227	35254403-35257927	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A35259227-35243152
GPI	ENSG00000105220.17	ENSG00000105220.17:t:34391993-34392092	-0.1268512379807371;-0.19296311124348614;0.4219006286017483	0.22170431051216916;0.4714474407734517;0.9543498342880437	4.992087040256443e-05;1.7153842477690695e-05;4.469157039410854e-06	0.275;0.298;0.422	0.089;0.062;0.849	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;0;0	chr19	+	34391292-34391993;34391543-34391993;34391544-34391992	nan-34391292;34391510-34391543;34391993-34392092	34391544-34391992	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A34392092-34391282
SLC30A6	ENSG00000152683.14	ENSG00000152683.14:t:32184273-32184338	-0.0037212578977499533;0.11619115832898802;-0.00097970565123279;0.10589331984581608;-0.3201297662675028;0.003470686824912259	3.28475176381893e-05;0.132968076034108;3.978832668367362e-05;0.2024045410996055;0.7987283435753714;1.6302039884129806e-05	0.0026475405058510315;5.601237209685336e-05;0.002942660515137141;8.328239840796857e-05;1.3456865241900928e-05;0.003244876688303776	0.033;0.033;0.033;0.284;0.614;0.005	0.004;0.199;0.028;0.490;0.248;0.032	t|1e1.1o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|i	False	False	True	6	6	1;0;1;1;1;0	chr2	+	32165903-32184273;32171373-32184273;32174147-32184273;32175361-32184273;32177596-32184273;32177597-32184272	32165841-32166189;32171287-32171373;32174063-32174147;32175319-32175361;32177477-32177596;32184273-32184338	32177597-32184272	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A32184338-32165841
INPP5K	ENSG00000132376.20	ENSG00000132376.20:t:1513872-1513979	0.3145472854141554;-0.3561850442274963;-0.002722679870817941;0.024004310747905558	0.842075080057145;0.9279520560231201;8.095135046478708e-06;0.0002933856592182577	4.7029061331554635e-05;1.9193530739980424e-05;0.006205158806392941;0.001995028050658775	0.444;0.499;0.029;0.029	0.791;0.126;0.004;0.080	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2	True	False	True	4	4	1;1;1;1	chr17	-	1513979-1516456;1513979-1515888;1513979-1515569;1513979-1515427	1513872-1513979;1515427-1515701;1515888-1516118;1516456-1516742		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A1516742-1513872
PGAP3	ENSG00000161395.14	ENSG00000161395.14:s:39673875-39674054	0.1715150139764386;0.0035736781664260386;-0.21091510059110719	0.3904349897963319;3.9201778954869885e-05;0.5373149272027323	0.00014323109050726722;0.004399096177700082;6.726720823513332e-05	0.697;0.011;0.292	0.930;0.035;0.035	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;0	chr17	-	39673650-39673993;39673255-39673993;39672866-39673993	39671122-39672866;39673051-39673255;39673514-39673650;39673875-39674054		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A39674054-39671122
INPP5D	ENSG00000168918.14	ENSG00000168918.14:s:233122107-233122257	0.2236349924126535;-0.22363497895932066	0.5872386826011861;0.5872386506858722	0.00011223649148041446;0.00011224240326124235	0.424;0.576	0.708;0.292	s|1e1.1o2|1e1.2o2	False	True	False	2	2	1;1	chr2	+	233122257-233125745;233122257-233125748	233122107-233122257;233125745-233125919		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A233125919-233122107
RAD51D	ENSG00000185379.20	ENSG00000185379.20:t:35106386-35106481	-0.20073187135341336;0.00015630281345949495;0.00015630281345949495;0.00015630281345949495;0.1893139275917557	0.5087361241765195;2.7549736448101425e-06;2.7549736448101425e-06;2.7549736448101425e-06;0.4664684168216078	7.455787475652009e-05;0.006680634331479918;0.006680634331479918;0.006680634331479918;0.00010825598974610975	0.286;0.005;0.005;0.005;0.699	0.039;0.006;0.006;0.006;0.942	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e5.1o1	False	False	True	5	6	1;1;1;1;1	chr17	-	35106481-35119111;35106481-35118501;35106481-35116859;35106481-35107366;35106481-35106988	35106386-35106481;35106988-35107122;35107239-35107447;35116859-35117037;35118501-35118619;35119111-35119172		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A35119172-35106386
ERI2	ENSG00000196678.14	ENSG00000196678.14:t:na-20792335	0.012597798418908552;0.25977145926250866;-0.3055783829298192	0.022194938069112734;0.6658862740272843;0.7527594610885159	0.0007694766095026062;0.00013733599603353488;0.00011718867676036027	0.277;0.166;0.560	0.314;0.498;0.189	t|1e1.4o6|1e2.1o1|1e3.1o1	False	False	True	3	4	0;0;0	chr16	-	20792335-20796886;20792335-20795206;20792335-20794762	nan-20792335;20794762-nan;20795206-nan;20796340-20799067		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A20799067-20792325
ERI2	ENSG00000196678.14	ENSG00000196678.14:t:20790587-20790932	-0.18904353984396932;-0.16055724430421014;0.42138949744128756	0.4213355923778375;0.32744666001931366;0.9267330257028589	1.5846205003611225e-05;3.3292483397784345e-05;5.450002304356559e-06	0.263;0.275;0.453	0.038;0.059;0.903	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;0;0	chr16	-	20790932-20799263;20790932-20792558;20790933-20792557	20790587-20790932;20792558-20792766;20799263-20799373	20790933-20792557	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A20799373-20790587
MCF2L2	ENSG00000053524.12	ENSG00000053524.12:s:183389696-183389779	-0.4235021563878916;0.4235021555015013	0.9818702910232373;0.9818701939264823	2.3363844877666295e-06;2.3363765211611116e-06	0.977;0.023	0.540;0.460	s|1e1.1o2|i	False	False	False	2	2	1;0	chr3	-	183379411-183389696;183383378-183389695	183372019-183379411;183389696-183389779	183383378-183389695	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A183389779-183372019
MCF2L2	ENSG00000053524.12	ENSG00000053524.12:t:183372019-183379411	-0.13419937880332317;0.09241265009620359;-0.09273715972243804;0.23194816062873294	0.28946789076032126;0.035980540335298336;0.139118884339397;0.6542112431045379	6.358185544630413e-05;0.00013013761652832785;9.518533898711379e-05;1.406865629613244e-06	0.681;0.008;0.302;0.008	0.446;0.146;0.125;0.286	t|1e1.1o1|2e2.1o2|2e2.2o2|i	True	True	True	4	3	1;0;0;0	chr3	-	183379411-183389696;183379313-183383280;183379313-183383255;183379412-183383254	183372019-183379411;183383255-183383377;183389696-183389779	183379412-183383254	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A183389779-183372019
AC097376.3	ENSG00000273247.5	ENSG00000273247.5:s:139453685-139454034	0.4216610248383485;-0.00047234216708225466;-0.00047234216708225466;-0.010594200559720218;-0.3344380305587366	0.9824485760434672;4.0331714986893405e-05;4.0331714986893405e-05;0.0016426170766420773;0.8186877888099815	1.3703772154042502e-05;0.0036094640152745106;0.0036094640152745106;0.001648922057491009;0.00011244439237201309	0.010;0.010;0.010;0.060;0.910	0.457;0.006;0.006;0.006;0.524	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.2o2|1e5.1o1	False	False	True	5	6	0;1;1;1;0	chr4	-	139452931-139453685;139452497-139453685;139419923-139453685;139416012-139453685;139414024-139453685	nan-139452931;139411927-139414024;139415937-139416146;139419870-139419923;139448443-139452497;139453685-139454034		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A139454034-139411927
NIN	ENSG00000100503.26	ENSG00000100503.26:s:50729523-50729723	-0.21125697282693767;0.2112569638565187	0.5423274374222571;0.5423275848081636	9.116572709688686e-05;9.116124745264624e-05	0.305;0.695	0.028;0.972	s|1e1.1o1|1e2.2o2	False	False	True	2	3	1;1	chr14	-	50727751-50729523;50726066-50729523	50725827-50726414;50727236-50727751;50729523-50729723		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A50729723-50725827
AL160408.3	ENSG00000230628.1	ENSG00000230628.1:s:234682482-234682599	-0.09906196028090902;-0.043445747733822246;0.22754720262574787	0.12914336134065524;0.03555707900621405;0.6929818223703733	8.32640093177961e-05;0.0002240251491887335;1.3148738222535645e-07	0.310;0.682;0.007	0.150;0.589;0.261	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;0;0	chr1	-	234681357-234682482;234679349-234682482;234681358-234682481	nan-234679349;234681196-234681357;234682482-234682599	234681358-234682481	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A234682599-234679339
IFT122	ENSG00000163913.12	ENSG00000163913.12:t:129495446-129495607	-0.20658548474058322;0.20663020471632457;-0.0016439959506512557	0.5307591603016723;0.5298111165625741;0.0007010033477640534	1.4043583746237154e-05;1.590346543815732e-05;0.0009784324268565792	0.487;0.349;0.166	0.231;0.610;0.164	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr3	+	129488397-129495446;129492194-129495446;129492195-129495445	129488191-129488397;129492141-129492194;129495446-129495607	129492195-129495445	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A129495607-129488191
BANP	ENSG00000172530.20	ENSG00000172530.20:s:88033109-88033245	-0.44773782294725406;0.4477378724253929	0.9785306836262136;0.9785305935374482	2.2080708701688323e-05;2.208051356026466e-05	0.569;0.431	0.114;0.886	s|1e1.2o3|1e1.3o3	False	True	False	2	2	1;1	chr16	+	88033245-88035323;88033245-88035332	88033109-88033245;88035052-88035394		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A88035394-88033109
LSS	ENSG00000160285.15	ENSG00000160285.15:t:46196202-46196371	-0.4295296353538326;0.42952967492265537	0.999598620109881;0.9995986017087275	3.340576815169527e-09;3.3573535430617688e-09	0.991;0.009	0.558;0.442	t|1e1.1o1|i	False	False	False	2	2	1;0	chr21	-	46196267-46205836;46196372-46201179	46196202-46196371;46205836-46205941	46196372-46201179	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A46205941-46196202
LSS	ENSG00000160285.15	ENSG00000160285.15:s:46205836-46205941	-0.03481510791889579;-0.20590667110667557;0.02608819086387457;0.23912870109863854	0.005132344520037683;0.534432527592429;3.107116642481123e-05;0.752863275587738	0.0004205426510026644;1.1138162969714926e-05;0.0016154163557061847;1.4383703594396412e-08	0.171;0.792;0.034;0.004	0.100;0.544;0.081;0.276	s|1e1.1o1|1e2.2o2|1e3.1o1|i	False	False	True	4	4	0;1;0;0	chr21	-	46200546-46205836;46196267-46205836;46195756-46205836;46201270-46205835	nan-46200546;46195676-46195756;46196202-46196371;46205836-46205941	46201270-46205835	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A46205941-46195676
ZNF888	ENSG00000213793.5	ENSG00000213793.5:s:52923369-52923481	-0.02873123343578754;-0.2148359690345643;0.22684453854749762;0.051481625181950964;-0.029884763974863546;0.007203485948050507	0.01150423065885864;0.5630389600729916;0.6325835922511215;0.042316758492725835;0.001476531735351099;0.0003199609888072016	0.0003723525373339198;1.0065590071106634e-05;3.7231586650498636e-06;0.00019464254839279826;0.0007046755474988675;0.0013052843085045729	0.232;0.346;0.041;0.209;0.098;0.074	0.160;0.091;0.294;0.324;0.038;0.089	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1|i	False	True	True	6	5	1;1;0;0;0;0	chr19	-	52918937-52923369;52917997-52923369;52917931-52923369;52915322-52923369;52908179-52923369;52918938-52923368	52904417-52908179;52915196-52915322;52917859-52917997;52918819-52918937;52923369-52923481	52918938-52923368	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A52923481-52904417
ZNF888	ENSG00000213793.5	ENSG00000213793.5:t:52917859-52917997	-0.31246065331037587;-0.03493884421253453;0.24586624746874128;0.07099104015293727	0.8522461848324766;0.02100106672373407;0.7009255821116462;0.10240463871536845	3.464322420276833e-05;0.0006949625607507448;4.1221760767035635e-05;0.00041498547606921843	0.446;0.225;0.055;0.274	0.103;0.141;0.330;0.422	t|1e1.1o1|1e2.1o1|2e3.1o1|2e4.1o1	False	True	True	4	5	1;0;0;1	chr19	-	52917997-52923369;52917997-52918819;52917931-52923369;52917931-52918819	52917859-52917997;52918819-52918937;52923369-52923481		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A52923481-52917859
STAG3	ENSG00000066923.17	ENSG00000066923.17:s:100211659-100211876	0.25037726398004945;-0.2503772623357729	0.6231738731179233;0.6231739863279145	2.6564907314397196e-05;2.65659161882148e-05	0.239;0.761	0.563;0.437	s|1e1.1o1|i	False	False	False	2	2	1;0	chr7	+	100211876-100213735;100211877-100213734	100211659-100211876;100213735-100213806	100211877-100213734	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100213806-100211659
FAM111A	ENSG00000166801.16	ENSG00000166801.16:s:59142748-59142969	-0.3200760740064388;0.32007605637606135	0.8096384406045972;0.8096384653039974	8.424741813262138e-05;8.424315280891386e-05	0.603;0.397	0.236;0.764	s|1e1.1o1|2e1.1o1	True	False	False	2	2	1;1	chr11	+	59142946-59143083;59142969-59143083	59142748-59142969;59143083-59143304		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A59143304-59142748
LINC02476	ENSG00000225546.6	ENSG00000225546.6:s:119764681-119764776	-0.4149679922866415;0.41496802219779766	0.9655970139836181;0.9655969081316904	3.165215916145492e-06;3.165151509150157e-06	0.976;0.024	0.542;0.458	s|1e1.1o1|i	False	False	False	2	2	0;0	chr7	-	119761970-119764681;119761971-119764680	119761904-119761970;119764681-119764776	119761971-119764680	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A119764776-119761904
BRPF3	ENSG00000096070.19	ENSG00000096070.19:t:36200297-36201770	0.14183049386153032;-0.2167295055932268;-0.0011332391665545894;0.040841836254545585	0.2930439054584982;0.554176914496382;3.8399030184205466e-05;0.013728277412466208	0.00019235895767120027;0.00014391583203854363;0.004954685018623284;0.000648987217508213	0.113;0.793;0.033;0.060	0.321;0.508;0.029;0.142	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3	True	False	True	4	3	1;0;1;1	chr6	+	36196970-36200297;36197419-36200297;36197497-36200297;36197620-36200297	36196744-36196970;36197396-36197620;36200297-36201770		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A36201770-36196744
USP40	ENSG00000085982.14	ENSG00000085982.14:t:233489365-233489640	-0.28232615453984616;0.28732988123798636;-0.00026222175397152056	0.8064382115206664;0.8230559180207608;3.972698316498259e-07	3.995967614867091e-05;3.550138782585361e-05;0.011326697488878934	0.889;0.103;0.008	0.578;0.417;0.005	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr2	-	233489483-233491167;233489483-233491032;233489483-233489662	233489365-233489640;233489662-233489869;233491032-233491071;233491167-233491339		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A233491339-233489365
